epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1502.22,1.45588,2.38241,1.62313,0.49571,0.35493,0.37329,0.1862,1.72169,3.05003,2.23002,0.000552417,0.000552417,0.000552417
2,3001.82,1.60346,2.19357,1.77326,0.27764,0.33143,0.22226,0.08599,2.13532,3.52117,2.46087,0.00108614,0.00108614,0.00108614
3,4490.14,1.65313,2.08083,1.80659,0.46105,0.34879,0.35743,0.14728,1.92536,4.05919,2.57984,0.00159787,0.00159787,0.00159787
4,14975.1,1.63588,1.98086,1.78943,0.57354,0.46949,0.49243,0.23139,1.7481,2.04688,2.05778,0.00156798,0.00156798,0.00156798
5,41101.9,1.59021,1.86252,1.75421,0.49854,0.39194,0.37153,0.14313,2.02088,2.44971,2.38265,0.00153497,0.00153497,0.00153497
6,42166.2,1.54702,1.78986,1.70948,0.68604,0.55423,0.59755,0.26381,1.74507,1.84483,2.03733,0.00150197,0.00150197,0.00150197
7,44604.4,1.52448,1.69077,1.68588,0.66831,0.50773,0.57101,0.2966,1.69672,1.80532,1.98577,0.00146896,0.00146896,0.00146896
8,45863.2,1.47599,1.60554,1.64671,0.70234,0.59156,0.63254,0.3174,1.65258,1.69096,1.97763,0.00143595,0.00143595,0.00143595
