epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.431,1.54731,2.20732,1.55712,0.47461,0.46116,0.41614,0.20135,1.63275,2.22193,1.69465,0.000554852,0.000554852,0.000554852
2,1067.36,1.63191,2.0915,1.63805,0.57562,0.52878,0.55115,0.25851,1.65231,1.95688,1.65614,0.000890636,0.000890636,0.000890636
3,1580.75,1.57268,1.90921,1.58082,0.68844,0.60032,0.6331,0.34518,1.51278,1.65403,1.57183,0.00100638,0.00100638,0.00100638
4,2093.24,1.4854,1.7305,1.52077,0.64286,0.58276,0.54829,0.30953,1.44307,1.57593,1.51993,0.000676802,0.000676802,0.000676802
5,2666.09,1.41579,1.56866,1.46726,0.84575,0.64797,0.75006,0.45937,1.34654,1.21246,1.41925,0.000346736,0.000346736,0.000346736
